group	target	artifact	typed_edge_flow_v1	llvm_memory_effects_v1	svf_solved_points_to_v1	ffi_argument_identity_v1	external_deallocation_effects_v1	allocation_state_v1	typed_edges	normal_edges	unwind_edges
corpus	c_malloc_rust_free_then_use_uaf	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_free_then_use_uaf/annotated_icfg_v2.json	1	1	1	0	1	1	27	27	0
corpus	c_malloc_rust_std_dealloc_ub	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_std_dealloc_ub/annotated_icfg_v2.json	1	1	1	0	1	1	13	13	0
corpus	c_malloc_rust_string_from_raw_parts_ub	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_string_from_raw_parts_ub/annotated_icfg_v2.json	1	1	1	0	1	1	46	42	4
corpus	c_malloc_rust_vec_from_raw_parts_ub	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_malloc_rust_vec_from_raw_parts_ub/annotated_icfg_v2.json	1	1	1	0	1	1	41	37	4
corpus	concurrent-verification	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/concurrent-verification/annotated_icfg_v2.json	1	0	0	0	1	1	136	110	26
corpus	c_static_cstr_borrow_clean	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/c_static_cstr_borrow_clean/annotated_icfg_v2.json	1	1	1	0	1	1	19	15	4
corpus	cstr_cargo_df_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/cstr_cargo_df_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	29	25	4
corpus	cstr_expect_uaf_and_ub_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/cstr_expect_uaf_and_ub_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	30	26	4
corpus	cstringcargo_df_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/cstringcargo_df_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	40	33	7
corpus	cstringcargo_enum_df_only_rust	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/cstringcargo_enum_df_only_rust/annotated_icfg_v2.json	1	0	0	0	1	1	55	33	22
corpus	cstring_df_only_rust	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/cstring_df_only_rust/annotated_icfg_v2.json	1	0	0	0	1	1	7	7	0
corpus	df_rand_cargo_c_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/df_rand_cargo_c_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	36	36	0
corpus	drop_raw_ptr_no_free	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/drop_raw_ptr_no_free/annotated_icfg_v2.json	1	0	0	0	1	1	6	6	0
corpus	explicit_drop_df_only_rust	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/explicit_drop_df_only_rust/annotated_icfg_v2.json	1	0	0	0	1	1	6	6	0
corpus	for_df_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/for_df_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	37	29	8
corpus	for_memory_leak_ffi	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/for_memory_leak_ffi/annotated_icfg_v2.json	1	1	1	1	1	1	30	24	6
corpus	lock-free	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/lock-free/annotated_icfg_v2.json	1	0	0	0	1	1	93	87	6
corpus	lock_free_non_blocking_linked_list	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/lock_free_non_blocking_linked_list/annotated_icfg_v2.json	1	0	0	0	1	1	136	103	33
corpus	napkin-math-test	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/napkin-math-test/annotated_icfg_v2.json	1	0	0	0	1	1	62	52	10
corpus	noGenerator	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/noGenerator/annotated_icfg_v2.json	1	0	0	0	1	1	43	37	6
corpus	rc-playground	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/rc-playground/annotated_icfg_v2.json	1	0	0	0	1	1	181	157	24
corpus	rusant	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/rusant/annotated_icfg_v2.json	1	1	1	0	1	1	43	25	18
corpus	rust-boks	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/rust-boks/annotated_icfg_v2.json	1	0	0	0	1	1	123	78	45
corpus	rust_box_direct_c_free_ub	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/rust_box_direct_c_free_ub/annotated_icfg_v2.json	1	0	0	0	1	1	4	4	0
corpus	rust_hw3	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/rust_hw3/annotated_icfg_v2.json	1	0	0	0	1	1	207	139	68
corpus	rust_memory	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/rust_memory/annotated_icfg_v2.json	1	0	0	0	1	1	98	64	34
corpus	shared-register	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/shared-register/annotated_icfg_v2.json	1	0	0	0	1	1	490	301	189
corpus	skip-list-test	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/skip-list-test/annotated_icfg_v2.json	1	0	0	0	1	1	193	189	4
corpus	square	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/square/annotated_icfg_v2.json	1	0	0	0	1	1	11756	8642	3114
corpus	stackswap-coroutines	/home/af/Documenti/a-phd/repro-results/pre-must-final118-20260919T120729Z/main/raw/stackswap-coroutines/annotated_icfg_v2.json	1	0	0	0	1	1	341	323	18
