group	target	graph_sha256	schema	entry	nodes	reachable_nodes	unreachable_nodes	edges	variables	allocations	graph_validation	identity_sidecar	allocator_mismatch_ub	allocator_mismatch_ub_v2	double_free_alloc	double_free_alloc_state	leak_alloc	leak_alloc_state	mir_rvalue_presence	mir_statement_presence	mir_structural_allocator_example	mir_terminator_presence	use_after_free_alloc	use_after_free_alloc_state
corpus	c_malloc_rust_cstring_from_raw_ub	8dffefca23ca7fe041b811a36bc1d2d6f27b9b1c43c4d3d76bd570f3d8332822	2	rust::main::bb0	39	39	0	42	48	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	unk	tt	ff	ff
corpus	c_malloc_rust_double_free_df	8d7cf5691e6f4865d460e5bca6df6bf299af292c9b8a4b181478bdb80970300a	2	rust::main::bb0	27	27	0	28	31	1	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	ff	ff	tt	ff	ff
corpus	c_malloc_rust_free_clean	16afd0d869c576a21c7beebc7b0a43ca2597222f9d3f0008cebae3fbe6dd7a46	2	rust::main::bb0	28	28	0	29	39	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_malloc_rust_free_then_use_uaf	54e5666a849447a2707c677c5a379938e44a2a4fd0b7c0f89e436b513b0bd0f7	2	rust::main::bb0	26	26	0	27	31	1	PASS	PASS	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	unk	unk
corpus	c_malloc_rust_std_dealloc_ub	ab1d0c558d85572df43c4497198df4735fa76d406389e3344e1fd077e0662af0	2	rust::main::bb0	13	13	0	13	14	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	c_malloc_rust_string_from_raw_parts_ub	91078ea57eed538d550a756a523d0c1917328285c522fb0d963b22704964d165	2	rust::main::bb0	43	43	0	46	59	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	unk	tt	ff	ff
corpus	c_malloc_rust_vec_from_raw_parts_ub	09aa459d46f886c8b4906246861c5372d9908c1d6be30b2364af765a30a38a30	2	rust::main::bb0	38	38	0	41	52	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	unk	tt	ff	ff
corpus	c_static_cstr_borrow_clean	3c67d0abf7372d0f9f278aae6995006479ecb1c606d90908e9fa85b1839e48b8	2	rust::main::bb0	17	17	0	19	18	0	PASS	PASS	ff	ff	ff	ff	ff	ff	ff	tt	ff	tt	ff	ff
corpus	clean_cstring_no_errors_only_rust	4d69eb2a963fbbbb26bf3a62df985dea322f4019b95751f54aae2a0b0a7cc129	2	rust::main::bb0	6	6	0	5	9	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	ff	ff	tt	ff	ff
corpus	clean_into_from_raw	2c66df95f40fe4f39735f386d29e35938779fad111fd11e17691382a244d89db	2	rust::main::bb0	22	22	0	35	58	1	PASS	PASS	ff	ff	ff	ff	unk	unk	tt	tt	ff	tt	ff	ff
corpus	clean_mul_fn_ffi_no_errors	556201f930fcffe052ff2423949a61c18f960162ac97bb880b377346e4976e4b	2	rust::main::bb0	45	45	0	51	63	2	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	unk	tt	ff	ff
corpus	clean_struct_point_mem_leak_into_raw_no_errors	1c47b82493d8da59a4ed36652cee33ebf936c7f753b1391bfd3b47d9c44a44d3	2	rust::main::bb0	35	35	0	55	59	2	PASS	PASS	ff	ff	unk	unk	unk	unk	ff	tt	ff	tt	ff	ff
corpus	closure_df	0043b823f49dc966e030e95e5d422016429f1bffd83fbc71c5b3cc3ad4892b89	2	rust::main::bb0	11	11	0	10	22	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	ff	tt	unk	unk
corpus	concurrent-verification	9a7a6c4b387b0a0a622a7fab7f30b52f3f7cd0caef04ee217d35935699e516fd	2	rust::main::bb0	107	104	3	136	91	4	PASS	FAIL	ff	ff	ff	ff	unk	unk	ff	tt	ff	tt	ff	ff
corpus	cstr_cargo_df_ffi	f7c4be6b0387744158cd138cb580da1b659442d0b9c9a4dc8ced4e699847ed6c	2	rust::main::bb0	28	28	0	29	37	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	tt	unk	tt	unk	unk
corpus	cstr_expect_uaf_and_ub_ffi	0f0c9e2693f17e669ca58833bae487f573f37dd391a6adc804b34ef097997c7e	2	rust::main::bb0	29	29	0	30	45	1	PASS	PASS	unk	unk	ff	ff	unk	unk	ff	tt	ff	tt	unk	unk
corpus	cstring_df_only_rust	462714d30e90297d0f6dc8f6fe9b3d5238cb144b520e31303d9f4b2ac593f038	2	rust::main::bb0	8	8	0	7	11	1	PASS	PASS	unk	unk	unk	unk	unk	unk	ff	ff	unk	tt	unk	unk
